reference,nom,couleur,composition,texte_source
MH32314,"Push up model 32314 Axami",white,"Spandex 13 % polyamide 87 %","This bra is a must-have in every woman's wardrobe! Made entirely of smooth, high quality microfiber. Cups of fantastic construction, which optically enlarge even small breasts. Cut designed for special tasks. Two separate straps of this bra can be adjusted as you like: e.g. for evening dress with uncovered back (clasp on the belly, one strap around the neck instead of straps on the sides). The model has silicone straps and traditional ones in the set. An additional advantage are the removable magnifying inserts."
MH32315,"Push up model 32315 Axami",black,"Spandex 13 % polyamide 87 %","This bra is a must-have in every woman's wardrobe! Made entirely of smooth, high quality microfiber. Cups of fantastic construction, which optically enlarge even small breasts. Cut designed for special tasks. Two separate straps of this bra can be adjusted as you like: e.g. for evening dress with uncovered back (clasp on the belly, one strap around the neck instead of straps on the sides). The model has silicone straps and traditional ones in the set. An additional advantage are the removable magnifying inserts."
MH32318,"Cupless Bra model 32318 Axami",black,"Cotton 15 % Spandex 4 % Lycra 1 % Nylon 50 % polyamide 14 % Polyurethane 10 % Polyester 6 %","A peek-a-boo bra in the colour of deep black perfectly raises and exposes the bust. Made of black openwork lace. The model has decorative, adjustable and detachable straps. A coquettish bow at the edge of cups. Do not hesitate to order today!"
MH32319,"T-backs model 32319 Axami",black,"Cotton 15 % Spandex 4 % Lycra 1 % Nylon 50 % polyamide 14 % Polyurethane 10 % Polyester 6 %","So light and delicate that you will not feel their weight in your hand, but they will emphasize your beauty and sex-appeal in a unique way. Openwork, subtle lace enhances the beauty of your skin, provocative cut invites to passionate discoveries, and a charming, playful bow adds finesse to the whole. This thong may become your flirt with unusual and offbeat lingerie, especially when combined with the Blackjack bra!"
MH32326,"T-backs model 32326 Axami",pink,"Nylon 100 %","Short thong that will turn your head with its sex appeal. The front is decorated with delicate lace with floral patterns and a satin bow."
MH32331,"Cupless Bra model 32331 Axami",black,"Cotton 12 % Spandex 6 % polyamide 69 % Polyurethane 8 % Polyester 5 %","Tempting with the silvery glow of lace, Carmen bra is a proposition for a woman aware of her beauty, sensual and passionate. Its cut will expose the electrifying beauty of your breasts, the sophisticated ornamentation will emphasize the smoothness of the skin, and the deep black will add elegance and charm to the whole. Your beauty will become the sweetest aphrodisiac thanks to this model - you yourself will be captivating and delightful.
Detachable shoulder straps decorated with satin bows ensure additional wearing option and comfort of ideal adjustment to your needs."
MH32336,"Corset model 32336 Axami",black,"Spandex 10 % polyamide 90 %","Luxurious and elegant, the Carmen corset will enhance and slim your waistline. The corset binding and hook-and-eye fastening will allow you to fit it perfectly to your figure. The glittering of Swarovski crystals will emphasize the delicate openwork of black lace shimmering in silver. It is evening lingerie, chic and irresistibly tempting. It will emphasize and expose your beauty, it will tempt your eyes and promise unforgettable sensations to your hands..."
MH32338,"T-backs model 32338 Axami",black,"Nylon 22 % Polyester 73 %","Original and sensual thong V-3008 will surely catch your attention... and not only yours. A double, velvety black belt will emphasize the roundness of your hips, glossy lace will delight with delicate, feminine ornamentation. Satin bows are a playful and charming detail. This is a unique proposal for an original woman, tempting individualist... For someone like you!"
MH32369,"Push up model 32369 Axami",pink,"Cotton 29 % Spandex 5 % polyamide 43 % Polyurethane 14 % Polyester 9 %","An intriguing composition of coral lace and delicate bows is sure to enchant you. Fancy bra V-4251 catches the eye with its warm, saturated color, which will make your skin look extremely well and push-up cut, which will guarantee you stunning cleavage. This model is elegant, charming and extremely feminine at the same time. Created for a woman who loves to celebrate her uniqueness."
MH32371,"Panties model 32371 Axami",pink,"Cotton 4 % Spandex 7 % polyamide 89 %","Fancy thong V-4258 will delight you with its warm, intriguing color and sophisticated finish. Satin bows emphasize the delicacy of tulle and transparent lace. This model is sensual and very feminine."
MH32373,"Push up model 32373 Axami",beige,"Cotton 31 % Spandex 7 % Nylon 18 % polyamide 44 % Polyurethane 11 % Polyester 7 %","Stunning Precious V-4281 bra is an intriguing combination of delicate tulle and ecru lace with black accessories. Lace cups decorated with layers of light as fog tulle will provide you with unrivalled cleavage and seductive bust shape. Detachable shoulder straps allow you to adjust it perfectly to your needs. This is a proposal for an individualist, who wants to feel unique and feminine in every situation."
MH32374,"Belt model 32374 Axami",beige,"Cotton 2 % Spandex 8 % polyamide 90 %","Garter belt V-4282 will seduce you with subtle openwork of lace, transparency of tulle and contrasting accessories. This model perfectly accentuates your waist, and the frill emphasizes the roundness of your hips. The warm ecru shade is extremely good for the skin, and the whole was created to emphasise your femininity perfectly."
MH32375,"T-backs model 32375 Axami",beige,"Cotton 11 % Spandex 20 % polyamide 69 %","Sophisticated and sexy thong V-4288 is our proposal for the coming season. Thanks to them you will catch a glimpse and ignite the senses. The charm of this model is hidden in the finest fabrics, subtle lace pattern."
MH33104,"Push up model 33104 Axami",beige,"Cotton 33 % Spandex 8 % polyamide 33 % Polyurethane 16 % Polyester 10 %","Elegant beige bra with silicone straps fastened low on the back - perfect under fitted outfits with necklines. Guarantees you a perfect effect and the highest comfort. The bra is made of smooth microfiber. It has a removable magnifying inserts and adjustable, detachable straps - beige and silicone. The straps of this bra can be adjusted as you wish."
MH33107,"Push up model 33107 Axami",black,"Cotton 33 % Spandex 7 % polyamide 33 % Polyurethane 16 % Polyester 11 %","Elegant black bra with silicone, transparent back - perfect under fitted outfits with exposed back. It will guarantee you a perfect effect and the highest comfort. The bra is equipped with removable magnifying inserts, front fastening and removable, adjustable silicone straps."
