ID;Active (0/1);Name *[fr-FR];Categories (x,y,z,...);Price tax excl.;Tax rules ID;Wholesale price;Reference #;EAN13;Brand;Short description[fr-FR];Description[fr-FR];URL rewritten[fr-FR];Image URLs (x,y,z,...);Attribute (Name:Type:Position)*;Value (Value:Position)*;Combination Reference;Quantity;Supplier reference
;1;Balaklava model 220836 awama;Accueil->Accessoires->Bonnets et chapeaux;63.8;1;31.9;PDF-220836;5902719308598;awama;Une cagoule chaude en kid mohair et laine. Allie le confort d'un bonnet à la fonctionnalité d'une écharpe. Fabriquée dans une filature polonaise à partir d'un fil doux, léger et très chaud. Les cordons permettent d'ajuster l'enveloppement, du capuchon lâche à une protection étanche contre le vent. Un mélange de laine et de kid mohair avec un ajout pour la durabilité. Maximum d'enveloppement dans une forme minimaliste de chaleur, douce et fonctionnelle au quotidien et en voyage. Fabriqué en…;"Une cagoule chaude en kid mohair et laine. Allie le confort d'un bonnet à la fonctionnalité d'une écharpe. Fabriquée dans une filature polonaise à partir d'un fil doux, léger et très chaud. Les cordons permettent d'ajuster l'enveloppement, du capuchon lâche à une protection étanche contre le vent. Un mélange de laine et de kid mohair avec un ajout pour la durabilité. Maximum d'enveloppement dans une forme minimaliste de chaleur, douce et fonctionnelle au quotidien et en voyage. Fabriqué en Pologne.

Composition : Acrylique 40 %, Moher 16 %, polyamide 22 %, laine 22 %";balaklava-awama-brun-220836;https://lingeriematterhorn.fr/pics_source/1101999.jpg,https://lingeriematterhorn.fr/pics_source/1102000.jpg;Taille:select:0;EU universelle:0;M1254621;10;M1254621
;1;Bonnet model 220839 awama;Accueil->Accessoires->Bonnets et chapeaux;41.8;1;20.9;PDF-220839;5902719308567;awama;Un bonnet chaud en cachemire de chèvre et laine. Un accessoire pour ceux qui apprécient la simplicité, la douceur et la chaleur réelle. Fabriqué dans une filature locale en Pologne à partir d'un fil agréable au toucher qui protège du froid et du vent, tout en permettant à la peau de respirer. Un bonnet chaud, doux et polyvalent pour l'hiver au quotidien, au travail et en voyage.;Un bonnet chaud en cachemire de chèvre et laine. Un accessoire pour ceux qui apprécient la simplicité, la douceur et la chaleur réelle. Fabriqué dans une filature locale en Pologne à partir d'un fil agréable au toucher qui protège du froid et du vent, tout en permettant à la peau de respirer. Un bonnet chaud, doux et polyvalent pour l'hiver au quotidien, au travail et en voyage.;bonnet-awama-brun-220839;https://lingeriematterhorn.fr/pics_source/1102006.jpg,https://lingeriematterhorn.fr/pics_source/1102007.jpg;Taille:select:0;EU universelle:0;M1254624;4;M1254624
;1;Bonnet model 220840 awama;Accueil->Accessoires->Bonnets et chapeaux;41.8;1;20.9;PDF-220840;5902719308550;awama;Un bonnet chaud en cachemire de chèvre et laine. Un ajout pour les personnes qui apprécient la simplicité, la douceur et la chaleur réelle. Fabriqué dans une filature locale en Pologne à partir d'un fil agréable au toucher qui protège du froid et du vent, tout en permettant à la peau de respirer. Un bonnet chaud, doux et polyvalent pour l'hiver, pour tous les jours, pour le travail et les voyages.;Un bonnet chaud en cachemire de chèvre et laine. Un ajout pour les personnes qui apprécient la simplicité, la douceur et la chaleur réelle. Fabriqué dans une filature locale en Pologne à partir d'un fil agréable au toucher qui protège du froid et du vent, tout en permettant à la peau de respirer. Un bonnet chaud, doux et polyvalent pour l'hiver, pour tous les jours, pour le travail et les voyages.;bonnet-awama-brun-220840;https://lingeriematterhorn.fr/pics_source/1102008.jpg,https://lingeriematterhorn.fr/pics_source/1102009.jpg;Taille:select:0;EU universelle:0;M1254625;2;M1254625
;1;Châle model 220841 awama;Accueil->Accessoires->Foulards et écharpes;89.8;1;44.9;PDF-220841;5902719308543;awama;Un long et chaud châle en cachemire et laine. Tissé en Pologne à partir d'un mélange moelleux, léger et exceptionnellement chaud. Doux au toucher, avec une texture côtelée élastique qui s'adapte bien autour du cou et sous un manteau. Vraiment chaud, doux et polyvalent, ce châle pour l'hiver enveloppera, réchauffera et complétera vos tenues quotidiennes et élégantes.;"Un long et chaud châle en cachemire et laine. Tissé en Pologne à partir d'un mélange moelleux, léger et exceptionnellement chaud. Doux au toucher, avec une texture côtelée élastique qui s'adapte bien autour du cou et sous un manteau. Vraiment chaud, doux et polyvalent, ce châle pour l'hiver enveloppera, réchauffera et complétera vos tenues quotidiennes et élégantes.

Composition : Acrylique 40 %, Moher 16 %, polyamide 22 %, laine 22 %";chale-awama-brun-220841;https://lingeriematterhorn.fr/pics_source/1102010.jpg,https://lingeriematterhorn.fr/pics_source/1102011.jpg,https://lingeriematterhorn.fr/pics_source/1102012.jpg,https://lingeriematterhorn.fr/pics_source/1102013.jpg;Taille:select:0;EU universelle:0;M1254626;4;M1254626
;1;Châle model 220842 awama;Accueil->Accessoires->Foulards et écharpes;89.8;1;44.9;PDF-220842;5902719308536;awama;Un long et chaud foulard en mohair de chèvre et laine. Tissé en Pologne à partir d'un mélange moelleux, léger et exceptionnellement chaud. Doux au toucher, avec une texture élastique et côtelée qui s'ajuste bien autour du cou et sous un manteau. Véritablement chaud, doux et polyvalent, ce foulard d'hiver enveloppera, réchauffera et complétera vos tenues quotidiennes et élégantes.;"Un long et chaud foulard en mohair de chèvre et laine. Tissé en Pologne à partir d'un mélange moelleux, léger et exceptionnellement chaud. Doux au toucher, avec une texture élastique et côtelée qui s'ajuste bien autour du cou et sous un manteau. Véritablement chaud, doux et polyvalent, ce foulard d'hiver enveloppera, réchauffera et complétera vos tenues quotidiennes et élégantes.

Composition : Acrylique 40 %, Moher 16 %, polyamide 22 %, laine 22 %";chale-awama-brun-220842;https://lingeriematterhorn.fr/pics_source/1102014.jpg,https://lingeriematterhorn.fr/pics_source/1102015.jpg;Taille:select:0;EU universelle:0;M1254627;5;M1254627
;1;Châle model 220843 awama;Accueil->Accessoires->Foulards et écharpes;89.8;1;44.9;PDF-220843;5902719308529;awama;Un long et chaud foulard en kid mohair et laine. Tissé en Pologne à partir d'un mélange moelleux, léger et exceptionnellement chaud. Doux au toucher, avec une texture côtelée élastique qui s'adapte bien autour du cou et sous le manteau. Vraiment chaud, doux et polyvalent, ce foulard d'hiver enveloppera, réchauffera et complétera vos tenues quotidiennes et élégantes.;"Un long et chaud foulard en kid mohair et laine. Tissé en Pologne à partir d'un mélange moelleux, léger et exceptionnellement chaud. Doux au toucher, avec une texture côtelée élastique qui s'adapte bien autour du cou et sous le manteau. Vraiment chaud, doux et polyvalent, ce foulard d'hiver enveloppera, réchauffera et complétera vos tenues quotidiennes et élégantes.

Composition : Acrylique 40 %, Moher 16 %, Polyamide 22 %, laine 22 %";chale-awama-brun-220843;https://lingeriematterhorn.fr/pics_source/1102016.jpg,https://lingeriematterhorn.fr/pics_source/1102017.jpg,https://lingeriematterhorn.fr/pics_source/1102018.jpg,https://lingeriematterhorn.fr/pics_source/1102019.jpg;Taille:select:0;EU universelle:0;M1254628;5;M1254628
;1;Bonnet model 191686 4F;Accueil->Accessoires->Bonnets et chapeaux;31.8;1;15.9;PDF-191686;5904698348374;4F;Le bonnet d'hiver à couche unique est un complément tendance et pratique à votre garde-robe d'automne et d'hiver. Il vous protégera du froid et du vent et vous gardera au chaud pendant les journées froides. Il vous protégera du froid et du vent et vous gardera au chaud les jours de grand froid. Fabriqué à partir de matériaux recyclés (contient au moins 52 % de polyester recyclé). Composition : Polyester recyclé Polyester recyclé 52% . Acrylique 29% Elastane 4%. Elastane 4% .;Le bonnet d'hiver à couche unique est un complément tendance et pratique à votre garde-robe d'automne et d'hiver. Il vous protégera du froid et du vent et vous gardera au chaud pendant les journées froides. Il vous protégera du froid et du vent et vous gardera au chaud les jours de grand froid. Fabriqué à partir de matériaux recyclés (contient au moins 52 % de polyester recyclé). Composition : Polyester recyclé Polyester recyclé 52% . Acrylique 29% Elastane 4%. Elastane 4% .;bonnet-4f-noir-191686;https://lingeriematterhorn.fr/pics_source/1013814.jpg,https://lingeriematterhorn.fr/pics_source/1013815.jpg;Taille:select:0;EU s | FR 38:0;M1112779;3;M1112779
;;Bonnet model 191686 4F;;;;;PDF-191686;5904698348350;;;;;;Taille:select:0;EU M | FR 40:1;M1112780;4;M1112780
;1;Bonnet model 219547 Moe;Accueil->Accessoires->Bonnets et chapeaux;33.8;1;16.9;PDF-219547;5905563776315;Moe;Un bonnet chaud en fil doux à grosse maille tressée. La coupe simple avec un léger relâchement dans la partie supérieure lui donne un caractère décontracté et élégant. Le bord replié assure un confort supplémentaire et un meilleur ajustement, tandis que la tresse décorative lui confère un charme classique et hivernal.;"Un bonnet chaud en fil doux à grosse maille tressée. La coupe simple avec un léger relâchement dans la partie supérieure lui donne un caractère décontracté et élégant. Le bord replié assure un confort supplémentaire et un meilleur ajustement, tandis que la tresse décorative lui confère un charme classique et hivernal.

Composition : Acrylique 85 %, Nylon 15 %";bonnet-moe-brun-219547;https://lingeriematterhorn.fr/pics_source/1098049.jpg,https://lingeriematterhorn.fr/pics_source/1098050.jpg,https://lingeriematterhorn.fr/pics_source/1098051.jpg;Taille:select:0;EU universelle:0;M1249330;10;M1249330
;1;Bonnet model 219548 Moe;Accueil->Accessoires->Bonnets et chapeaux;33.8;1;16.9;PDF-219548;5905563776308;Moe;Un bonnet chaud en fil doux à grosse maille torsadée. Une coupe simple avec une légère ampleur dans la partie supérieure donne à l'ensemble un caractère décontracté et stylé. Le bord replié assure un confort supplémentaire et un meilleur ajustement, tandis que la torsade décorative lui confère un charme classique et hivernal.;"Un bonnet chaud en fil doux à grosse maille torsadée. Une coupe simple avec une légère ampleur dans la partie supérieure donne à l'ensemble un caractère décontracté et stylé. Le bord replié assure un confort supplémentaire et un meilleur ajustement, tandis que la torsade décorative lui confère un charme classique et hivernal.

Composition : Acrylique 85 %, Nylon 15 %";bonnet-moe-rouge-219548;https://lingeriematterhorn.fr/pics_source/1098052.jpg,https://lingeriematterhorn.fr/pics_source/1098053.jpg,https://lingeriematterhorn.fr/pics_source/1098054.jpg;Taille:select:0;EU universelle:0;M1249331;10;M1249331
