id;name;brand;category_path;wholesale_price;description;image_1;image_2;image_3;image_4
220367;Bas model 220367 Axami;Axami;Collants, Bas;15.9;;http://srv0.lingeriematterhorn.fr/pics_source/1100541.jpg;http://srv0.lingeriematterhorn.fr/pics_source/1100542.jpg;;
203243;Soutien-gorge rembourré model 203243 Axami;Axami;Soutiens-Gorge Push Up;38.9;<div class='prod_data'> 			 		<table class='prod_table table table-striped table-bordered table-hover table-responsive' >  			 				<thead> 					<tr><th>Taille</th><th>Dessous de poitrine</th><th>Tour de poitrine</th></tr> 				</thead> 			<tr><td><b>EU 65C | FR 80C</b></td><td align='right'>63-67 cm</td><td align='right'>81-82 cm</td></tr><tr><td><b>EU 65D | FR 80D</b></td><td align='right'>63-67 cm</td><td align='right'>83-84 cm</td></tr><tr><td><b>EU 65E | FR 80E</b></td><td align='right'>63-67 cm</td><td align='right'>85-86 cm</td></tr><tr><td><b>EU 70B | FR 85B</b></td><td align='right'>68-72 cm</td><td align='right'>84-85 cm</td></tr><tr><td><b>EU 70C | FR 85C</b></td><td align='right'>68-72 cm</td><td align='right'>86-87 cm</td></tr><tr><td><b>EU 70D | FR 85D</b></td><td align='right'>68-72 cm</td><td align='right'>88-89 cm</td></tr><tr><td><b>EU 70E | FR 85E</b></td><td align='right'>68-72 cm</td><td align='right'>90-91 cm</td></tr><tr><td><b>EU 70F | FR 85F</b></td><td align='right'>68-72 cm</td><td align='right'>92-93 cm</td></tr><tr><td><b>EU 75B | FR 90B</b></td><td align='right'>73-77 cm</td><td align='right'>89-90 cm</td></tr><tr><td><b>EU 75C | FR 90C</b></td><td align='right'>73-77 cm</td><td align='right'>91-92 cm</td></tr><tr><td><b>EU 75D | FR 90D</b></td><td align='right'>73-77 cm</td><td align='right'>93-94 cm</td></tr><tr><td><b>EU 75E | FR 90E</b></td><td align='right'>73-77 cm</td><td align='right'>95-96 cm</td></tr><tr><td><b>EU 75F | FR 90F</b></td><td align='right'>73-77 cm</td><td align='right'>97-98 cm</td></tr><tr><td><b>EU 75G | FR 90G</b></td><td align='right'>73-77 cm</td><td align='right'>99-100 cm</td></tr><tr><td><b>EU 80B | FR 95B</b></td><td align='right'>78-82 cm</td><td align='right'>94-95 cm</td></tr><tr><td><b>EU 80C | FR 95C</b></td><td align='right'>78-82 cm</td><td align='right'>96-97 cm</td></tr><tr><td><b>EU 80D | FR 95D</b></td><td align='right'>78-82 cm</td><td align='right'>98-99 cm</td></tr><tr><td><b>EU 80E | FR 95E</b></td><td align='right'>78-82 cm</td><td align='right'>100-101 cm</td></tr><tr><td><b>EU 80F | FR 95F</b></td><td align='right'>78-82 cm</td><td align='right'>102-103 cm</td></tr><tr><td><b>EU 80G | FR 95G</b></td><td align='right'>78-82 cm</td><td align='right'>104-105 cm</td></tr><tr><td><b>EU 85B | FR 100B</b></td><td align='right'>83-87 cm</td><td align='right'>99-100 cm</td></tr><tr><td><b>EU 85C | FR 100C</b></td><td align='right'>83-87 cm</td><td align='right'>101-102 cm</td></tr><tr><td><b>EU 85D | FR 100D</b></td><td align='right'>83-87 cm</td><td align='right'>103-104 cm</td></tr><tr><td><b>EU 85E | FR 100E</b></td><td align='right'>83-87 cm</td><td align='right'>105-106 cm</td></tr><tr><td><b>EU 85F | FR 100F</b></td><td align='right'>83-87 cm</td><td align='right'>107-108 cm</td></tr><tr><td><b>EU 90C | FR 105C</b></td><td align='right'>88-92 cm</td><td align='right'>106-107 cm</td></tr><tr><td><b>EU 90D | FR 105D</b></td><td align='right'>88-92 cm</td><td align='right'>108-109 cm</td></tr><tr><td><b>EU 90E | FR 105E</b></td><td align='right'>88-92 cm</td><td align='right'>110-111 cm</td></tr><tr><td><b>EU 95C | FR 110C</b></td><td align='right'>93-97 cm</td><td align='right'>111-112 cm</td></tr><tr><td><b>EU 95D | FR 110D</b></td><td align='right'>93-97 cm</td><td align='right'>113-114 cm</td></tr> 		</table> 		</div>;http://srv0.lingeriematterhorn.fr/pics_source/1048358.jpg;http://srv0.lingeriematterhorn.fr/pics_source/1048359.jpg;http://srv0.lingeriematterhorn.fr/pics_source/1048360.jpg;
206162;Bas model 206162 Axami;Axami;Collants, Bas;16.9;;http://srv0.lingeriematterhorn.fr/pics_source/1057034.jpg;http://srv0.lingeriematterhorn.fr/pics_source/1057035.jpg;http://srv0.lingeriematterhorn.fr/pics_source/1057036.jpg;
34375;Bas model 34375 Axami;Axami;Collants, Bas;18.9;<div class='prod_data'> 			<strong>Élasthanne</strong> 10 % <br><strong>polyamide</strong> 90 % <br> 		</div>;http://srv0.lingeriematterhorn.fr/pics_source/77440.jpg;;;
144174;Body model 144174 Axami;Axami;Corsets et Bodys Femme;31.9;<div class='prod_data'> 			 		<table class='prod_table table table-striped table-bordered table-hover table-responsive' >  			 				<thead> 					<tr><th>Taille</th><th>Tour de hanche</th><th>Tour de poitrine</th></tr> 				</thead> 			<tr><td><b>EU L | FR 42</b></td><td align='right'>98-103 cm</td><td align='right'>92-102 cm</td></tr><tr><td><b>EU M | FR 40</b></td><td align='right'>93-98 cm</td><td align='right'>87-97 cm</td></tr><tr><td><b>EU S | FR 38</b></td><td align='right'>88-93 cm</td><td align='right'>82-92 cm</td></tr><tr><td><b>EU XL | FR 44</b></td><td align='right'>103-108 cm</td><td align='right'>97-107 cm</td></tr> 		</table> 		</div>;http://srv0.lingeriematterhorn.fr/pics_source/878018.jpg;http://srv0.lingeriematterhorn.fr/pics_source/878019.jpg;http://srv0.lingeriematterhorn.fr/pics_source/878020.jpg;
196109;Pyjama model 196109 DKaren;DKaren;Pyjamas, Ensembles de Nuit;47.9;<div class='prod_data'> 			<strong>Polyester</strong> 100 % <br> 		<table class='prod_table table table-striped table-bordered table-hover table-responsive' >  			 				<thead> 					<tr><th>Taille</th><th>Tour de hanche</th><th>Tour de poitrine</th></tr> 				</thead> 			<tr><td><b>EU L | FR 42</b></td><td align='right'>100-105 cm</td><td align='right'>90-95 cm</td></tr><tr><td><b>EU M | FR 40</b></td><td align='right'>95-100 cm</td><td align='right'>85-90 cm</td></tr><tr><td><b>EU S | FR 38</b></td><td align='right'>90-95 cm</td><td align='right'>80-85 cm</td></tr><tr><td><b>EU XL | FR 44</b></td><td align='right'>105-110 cm</td><td align='right'>95-100 cm</td></tr><tr><td><b>EU XXL | FR 46</b></td><td align='right'>110-115 cm</td><td align='right'>100-105 cm</td></tr> 		</table> 		</div>;http://srv0.lingeriematterhorn.fr/pics_source/1027122.jpg;http://srv0.lingeriematterhorn.fr/pics_source/1027123.jpg;;
196111;Pyjama model 196111 DKaren;DKaren;Pyjamas, Ensembles de Nuit;47.9;<div class='prod_data'> 			<strong>Polyester</strong> 100 % <br> 		<table class='prod_table table table-striped table-bordered table-hover table-responsive' >  			 				<thead> 					<tr><th>Taille</th><th>Tour de hanche</th><th>Tour de poitrine</th></tr> 				</thead> 			<tr><td><b>EU L | FR 42</b></td><td align='right'>100-105 cm</td><td align='right'>90-95 cm</td></tr><tr><td><b>EU M | FR 40</b></td><td align='right'>95-100 cm</td><td align='right'>85-90 cm</td></tr><tr><td><b>EU S | FR 38</b></td><td align='right'>90-95 cm</td><td align='right'>80-85 cm</td></tr><tr><td><b>EU XL | FR 44</b></td><td align='right'>105-110 cm</td><td align='right'>95-100 cm</td></tr><tr><td><b>EU XXL | FR 46</b></td><td align='right'>110-115 cm</td><td align='right'>100-105 cm</td></tr> 		</table> 		</div>;http://srv0.lingeriematterhorn.fr/pics_source/1027126.jpg;http://srv0.lingeriematterhorn.fr/pics_source/1027127.jpg;;
196112;Pyjama model 196112 DKaren;DKaren;Pyjamas, Ensembles de Nuit;47.9;<div class='prod_data'> 			<strong>Polyester</strong> 100 % <br> 		<table class='prod_table table table-striped table-bordered table-hover table-responsive' >  			 				<thead> 					<tr><th>Taille</th><th>Tour de hanche</th><th>Tour de poitrine</th></tr> 				</thead> 			<tr><td><b>EU L | FR 42</b></td><td align='right'>100-105 cm</td><td align='right'>90-95 cm</td></tr><tr><td><b>EU M | FR 40</b></td><td align='right'>95-100 cm</td><td align='right'>85-90 cm</td></tr><tr><td><b>EU S | FR 38</b></td><td align='right'>90-95 cm</td><td align='right'>80-85 cm</td></tr><tr><td><b>EU XL | FR 44</b></td><td align='right'>105-110 cm</td><td align='right'>95-100 cm</td></tr><tr><td><b>EU XXL | FR 46</b></td><td align='right'>110-115 cm</td><td align='right'>100-105 cm</td></tr> 		</table> 		</div>;http://srv0.lingeriematterhorn.fr/pics_source/1027128.jpg;http://srv0.lingeriematterhorn.fr/pics_source/1027129.jpg;;
145215;Body model 145215 Obsessive;Obsessive;Corsets et Bodys Femme;27.9;<div class='prod_data'> 			<strong>Élasthanne</strong> 15 % <br><strong>polyamide</strong> 85 % <br> 		<table class='prod_table table table-striped table-bordered table-hover table-responsive' >  			 				<thead> 					<tr><th>Taille</th><th>Hanche</th></tr> 				</thead> 			<tr><td><b>EU L/XL</b></td><td align='right'>95-105 cm</td></tr><tr><td><b>EU S/M</b></td><td align='right'>75-90 cm</td></tr> 		</table> 		</div>;http://srv0.lingeriematterhorn.fr/pics_source/881160.jpg;http://srv0.lingeriematterhorn.fr/pics_source/881161.jpg;;
174575;Culottes model 174575 Obsessive;Obsessive;Culottes;17.9;<div class='prod_data'> 			<strong>Élasthanne</strong> 10 % <br><strong>polyamide</strong> 90 % <br> 		</div>;http://srv0.lingeriematterhorn.fr/pics_source/963011.jpg;http://srv0.lingeriematterhorn.fr/pics_source/963012.jpg;;
